phase,flux,flux_err,symmetric,tail,multistart_symmetric
-0.47014173593592545,0.9968734357388619,0.0003053835755675711,1.0,1.0,1.0
-0.4700734158095372,0.9968557021698726,0.0003198304124597328,1.0,1.0,1.0
-0.46986243618442813,0.9967782775867808,0.0003050665023631318,1.0,1.0,1.0
-0.46973761004258563,0.9976228902446135,0.0003180012192035265,1.0,1.0,1.0
-0.46961443450679496,0.9974751764377148,0.0003136616714534258,1.0,1.0,1.0
-0.46961306898401745,0.9977420071876701,0.0003051715646292206,1.0,1.0,1.0
-0.4696057400136766,0.9974979294348134,0.00031912135034186626,1.0,1.0,1.0
-0.4695050475067717,0.9962145497610927,0.00032055574321661963,1.0,1.0,1.0
-0.4694998783275395,0.9979283603949247,0.00031818712502933996,1.0,1.0,1.0
-0.46936968130142986,0.9976600535033993,0.0003045826220649715,1.0,1.0,1.0
-0.46910278744536527,0.9982854149090857,0.00030439225604464876,1.0,1.0,1.0
-0.4689786698979379,0.9976856507845183,0.0003128043982076529,1.0,1.0,1.0
-0.4688426198306388,0.9974736726988789,0.00031899888562104695,1.0,1.0,1.0
-0.46879593057929014,0.9987522994322802,0.000304924886136147,1.0,1.0,1.0
-0.46863615527558977,0.9970677676004936,0.0003053821166057012,1.0,1.0,1.0
-0.4685368365554581,0.9980294057649655,0.00031928778404549007,1.0,1.0,1.0
-0.46842181199554034,0.9983040898685207,0.00030492518584993765,1.0,1.0,1.0
-0.4683161621179295,0.9977059647434395,0.00030549340841187197,1.0,1.0,1.0
-0.4682636097163311,0.9971531678933347,0.00031444399319851716,1.0,1.0,1.0
-0.46818892625324793,0.9980906428440867,0.0003196521292885317,1.0,1.0,1.0
-0.4680441415216592,0.9976962951001838,0.00030520405073660123,1.0,1.0,1.0
-0.4677979451060992,0.9982516922974801,0.0003052268849765229,1.0,1.0,1.0
-0.4677452034401668,0.9976226941356073,0.00031821712721205966,1.0,1.0,1.0
-0.4676841142613313,0.9975809390951526,0.00031914925295281285,1.0,1.0,1.0
-0.4676394655319882,0.9973595728104849,0.00032078692082010814,1.0,1.0,1.0
-0.4675868090009452,0.9970717291913631,0.0003137835386146754,1.0,1.0,1.0
-0.4675526357846138,0.9989042763528002,0.0003047385277597119,1.0,1.0,1.0
-0.4675411333306272,0.9970923091594448,0.00031826812367994706,1.0,1.0,1.0
-0.4672794856507494,0.998760660409656,0.0003044781479410303,1.0,1.0,1.0
-0.4671746059615032,0.9980423085745983,0.00030530340641091186,1.0,1.0,1.0
-0.466962213554325,0.9984588954014648,0.000304946827335453,1.0,1.0,1.0
